DATE,CREDIT SPREAD
1/4/90,0.67
1/5/90,0.71
1/6/90,0.78
1/7/90,0.77
1/8/90,0.66
1/9/90,0.67
1/10/90,0.81
1/11/90,0.91
1/12/90,0.97
1/1/91,0.95
1/2/91,0.98
1/3/91,0.82
1/4/91,0.82
1/5/91,0.79
1/6/91,0.73
1/7/91,0.73
1/8/91,0.85
1/9/91,0.96
1/10/91,1.02
1/11/91,1.06
1/12/91,1.22
1/1/92,1.17
1/2/92,0.95
1/3/92,0.81
1/4/92,0.85
1/5/92,0.89
1/6/92,0.96
1/7/92,1.23
1/8/92,1.36
1/9/92,1.5
1/10/92,1.4
1/11/92,1.23
1/12/92,1.21
1/1/93,1.31
1/2/93,1.45
1/3/93,1.6
1/4/93,1.49
1/5/93,1.39
1/6/93,1.37
1/7/93,1.36
1/8/93,1.17
1/9/93,1.3
1/10/93,1.34
1/11/93,1.21
1/12/93,1.16
1/1/94,1.17
1/2/94,1.11
1/3/94,1
1/4/94,0.91
1/5/94,0.81
1/6/94,0.87
1/7/94,0.81
1/8/94,0.83
1/9/94,0.88
1/10/94,0.83
1/11/94,0.72
1/12/94,0.65
1/1/95,0.68
1/2/95,0.79
1/3/95,0.92
1/4/95,0.97
1/5/95,1.02
1/6/95,1.13
1/7/95,1.13
1/8/95,1.08
1/9/95,1.12
1/10/95,1.08
1/11/95,1.09
1/12/95,1.11
1/1/96,1.16
1/2/96,1.18
1/3/96,1.08
1/4/96,0.99
1/5/96,0.88
1/6/96,0.8
1/7/96,0.78
1/8/96,0.82
1/9/96,0.83
1/10/96,0.86
1/11/96,0.9
1/12/96,0.9
1/1/97,0.84
1/2/97,0.89
1/3/97,0.86
1/4/97,0.84
1/5/97,0.87
1/6/97,0.92
1/7/97,0.92
1/8/97,0.92
1/9/97,0.94
1/10/97,0.97
1/11/97,0.99
1/12/97,0.95
1/1/98,1.07
1/2/98,1.1
1/3/98,1.07
1/4/98,1.05
1/5/98,1.04
1/6/98,1.03
1/7/98,1.09
1/8/98,1.18
1/9/98,1.59
1/10/98,1.84
1/11/98,1.58
1/12/98,1.57
1/1/99,1.52
1/2/99,1.4
1/3/99,1.39
1/4/99,1.46
1/5/99,1.39
1/6/99,1.33
1/7/99,1.4
1/8/99,1.46
1/9/99,1.47
1/10/99,1.44
1/11/99,1.33
1/12/99,1.27
1/1/00,1.12
1/2/00,1.16
1/3/00,1.42
1/4/00,1.65
1/5/00,1.55
1/6/00,1.57
1/7/00,1.6
1/8/00,1.72
1/9/00,1.82
1/10/00,1.81
1/11/00,1.73
1/12/00,1.97
1/1/01,1.99
1/2/01,2
1/3/01,2.09
1/4/01,2.06
1/5/01,1.9
1/6/01,1.9
1/7/01,1.89
1/8/01,2.05
1/9/01,2.44
1/10/01,2.46
1/11/01,2.32
1/12/01,1.68
1/1/02,1.51
1/2/02,1.6
1/3/02,1.53
1/4/02,1.55
1/5/02,1.59
1/6/02,1.7
1/7/02,1.88
1/8/02,2.11
1/9/02,2.28
1/10/02,2.38
1/11/02,2.26
1/12/02,2.18
1/1/03,2.12
1/2/03,2.05
1/3/03,2.08
1/4/03,1.78
1/5/03,1.65
1/6/03,1.64
1/7/03,1.51
1/8/03,1.43
1/9/03,1.45
1/10/03,1.41
